Flow_ID,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Duration,Total_Fwd_Pkts,Total_Bwd_Pkts,Total_Pkts,F1_PacketRate_RAW,F2_SynRatio_RAW,F3_DistinctPorts_RAW,F4_PayloadLen_RAW,F5_FailRate_RAW,F6_ContextScore_RAW
192.168.234.1-192.168.234.255-57621-57621-17,192.168.234.1,192.168.234.255,57621,57621,UDP,98.003410,6,0,6,0.0612,0.0000,1.0000,44.0000,0.0000,0.0000
192.168.234.1-224.0.0.251-5353-5353-17,192.168.234.1,224.0.0.251,5353,5353,UDP,22.305403,7,0,7,0.3138,0.0000,1.0000,0.0000,0.0000,0.0000
192.168.234.155-192.168.234.254-68-67-17,192.168.234.155,192.168.234.254,68,67,UDP,0.004022,1,1,2,497.2795,0.0000,1.0000,0.0000,0.0000,0.0000
192.168.234.1-239.255.255.250-50852-1900-17,192.168.234.1,239.255.255.250,50852,1900,UDP,0.000000,1,0,1,1.0000,0.0000,1.0000,125.0000,0.0000,0.0000
192.168.234.1-239.255.255.250-56216-1900-17,192.168.234.1,239.255.255.250,56216,1900,UDP,3.022510,4,0,4,1.3234,0.0000,1.0000,170.0000,0.0000,0.0000
192.168.234.155-192.168.234.1-49176-80-6,192.168.234.155,192.168.234.1,49176,80,TCP,0.596062,5,4,9,15.0991,0.2000,1.0000,163.0000,0.1111,0.0000
192.168.234.155-192.168.234.1-49178-80-6,192.168.234.155,192.168.234.1,49178,80,TCP,0.599327,5,4,9,15.0168,0.2000,1.0000,167.0000,0.1111,0.0000
192.168.234.155-192.168.234.1-49186-80-6,192.168.234.155,192.168.234.1,49186,80,TCP,0.619547,5,4,9,14.5267,0.2000,1.0000,163.0000,0.1111,0.0000
192.168.234.155-192.168.234.1-49194-80-6,192.168.234.155,192.168.234.1,49194,80,TCP,0.598430,5,4,9,15.0393,0.2000,1.0000,163.0000,0.1111,0.0000
192.168.234.155-192.168.234.1-49206-80-6,192.168.234.155,192.168.234.1,49206,80,TCP,0.619442,5,4,9,14.5292,0.2000,1.0000,171.0000,0.1111,0.0000
192.168.234.155-192.168.234.1-49214-80-6,192.168.234.155,192.168.234.1,49214,80,TCP,0.619346,5,4,9,14.5315,0.2000,1.0000,167.0000,0.1111,0.0000
192.168.234.155-192.168.234.1-49220-80-6,192.168.234.155,192.168.234.1,49220,80,TCP,0.597963,5,4,9,15.0511,0.2000,1.0000,175.0000,0.1111,0.0000
192.168.234.155-192.168.234.1-49224-80-6,192.168.234.155,192.168.234.1,49224,80,TCP,0.618681,5,4,9,14.5471,0.2000,1.0000,179.0000,0.1111,0.0000
192.168.234.155-192.168.234.1-49238-80-6,192.168.234.155,192.168.234.1,49238,80,TCP,0.618455,5,4,9,14.5524,0.2000,1.0000,179.0000,0.1111,0.0000
192.168.234.155-192.168.234.1-49248-80-6,192.168.234.155,192.168.234.1,49248,80,TCP,0.618300,5,4,9,14.5560,0.2000,1.0000,167.0000,0.1111,0.0000
