Flow_ID,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Duration,Total_Fwd_Pkts,Total_Bwd_Pkts,Total_Pkts,F1_PacketRate_RAW,F2_SynRatio_RAW,F3_DistinctPorts_RAW,F4_PayloadLen_RAW,F5_FailRate_RAW,F6_ContextScore_RAW
192.168.234.155-192.168.234.1-58564-80-6,192.168.234.155,192.168.234.1,58564,80,TCP,0.120273,5,3,8,66.5153,0.2000,1.0000,168.0000,0.1250,1.0000
192.168.234.1-224.0.0.251-5353-5353-17,192.168.234.1,224.0.0.251,5353,5353,UDP,124.436987,14,0,14,0.1125,0.0000,1.0000,0.0000,0.0000,0.0000
192.168.234.1-239.255.255.250-50852-1900-17,192.168.234.1,239.255.255.250,50852,1900,UDP,120.001320,2,0,2,0.0167,0.0000,1.0000,125.0000,0.0000,0.0000
192.168.234.1-192.168.234.255-57621-57621-17,192.168.234.1,192.168.234.255,57621,57621,UDP,114.068167,4,0,4,0.0351,0.0000,1.0000,44.0000,0.0000,0.0000
192.168.234.155-192.168.234.254-68-67-17,192.168.234.155,192.168.234.254,68,67,UDP,0.000242,1,1,2,8264.6384,0.0000,1.0000,0.0000,0.0000,0.0000
192.168.234.1-239.255.255.250-65262-1900-17,192.168.234.1,239.255.255.250,65262,1900,UDP,3.027716,4,0,4,1.3211,0.0000,1.0000,170.0000,0.0000,0.0000
192.168.234.155-192.168.234.1-59576-80-6,192.168.234.155,192.168.234.1,59576,80,TCP,0.007269,6,3,9,1238.1100,0.1667,1.0000,119.0000,0.1111,1.0000
192.168.234.155-192.168.234.1-59590-80-6,192.168.234.155,192.168.234.1,59590,80,TCP,0.004081,6,3,9,2205.3360,0.1667,1.0000,119.0000,0.1111,1.0000
192.168.234.155-192.168.234.1-47084-80-6,192.168.234.155,192.168.234.1,47084,80,TCP,0.002229,6,3,9,4037.7298,0.1667,1.0000,119.0000,0.1111,1.0000
192.168.234.155-192.168.234.1-47088-80-6,192.168.234.155,192.168.234.1,47088,80,TCP,0.004076,6,3,9,2208.0449,0.1667,1.0000,119.0000,0.1111,1.0000
192.168.234.155-192.168.234.1-47090-80-6,192.168.234.155,192.168.234.1,47090,80,TCP,0.005740,6,3,9,1567.8990,0.1667,1.0000,119.0000,0.1111,1.0000
192.168.234.155-192.168.234.1-47104-80-6,192.168.234.155,192.168.234.1,47104,80,TCP,0.004203,6,3,9,2141.2863,0.1667,1.0000,119.0000,0.1111,1.0000
192.168.234.155-192.168.234.1-37670-80-6,192.168.234.155,192.168.234.1,37670,80,TCP,0.004887,6,3,9,1841.5814,0.1667,1.0000,119.0000,0.1111,1.0000
192.168.234.155-192.168.234.1-37686-80-6,192.168.234.155,192.168.234.1,37686,80,TCP,0.005173,6,3,9,1739.7334,0.1667,1.0000,119.0000,0.1111,1.0000
192.168.234.155-192.168.234.1-37696-80-6,192.168.234.155,192.168.234.1,37696,80,TCP,0.008628,6,3,9,1043.0997,0.1667,1.0000,119.0000,0.1111,1.0000
192.168.234.155-192.168.234.1-45248-80-6,192.168.234.155,192.168.234.1,45248,80,TCP,0.003704,6,3,9,2429.7590,0.1667,1.0000,119.0000,0.1111,1.0000
192.168.234.155-192.168.234.1-45254-80-6,192.168.234.155,192.168.234.1,45254,80,TCP,0.002248,6,3,9,4003.4718,0.1667,1.0000,119.0000,0.1111,1.0000
192.168.234.155-192.168.234.1-45258-80-6,192.168.234.155,192.168.234.1,45258,80,TCP,0.003299,6,3,9,2728.1012,0.1667,1.0000,119.0000,0.1111,1.0000
192.168.234.155-192.168.234.1-59312-80-6,192.168.234.155,192.168.234.1,59312,80,TCP,0.008637,6,3,9,1042.0343,0.1667,1.0000,119.0000,0.1111,1.0000
