Flow_ID,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Duration,Total_Fwd_Pkts,Total_Bwd_Pkts,Total_Pkts,F1_PacketRate_RAW,F2_SynRatio_RAW,F3_DistinctPorts_RAW,F4_PayloadLen_RAW,F5_FailRate_RAW,F6_ContextScore_RAW
192.168.234.1-192.168.234.255-57621-57621-17,192.168.234.1,192.168.234.255,57621,57621,UDP,30.00155,2,0,2,0,0,1,44,0,0
192.168.234.133-192.168.234.2-33035-53-17,192.168.234.133,192.168.234.2,33035,53,UDP,0.032022,1,1,2,0,0,1,0,0,0
192.168.234.133-192.168.234.1-49963-80-6,192.168.234.133,192.168.234.1,49963,80,TCP,0.000582,2,1,3,0,1,1,0,0,0
192.168.234.133-192.168.234.1-49963-443-6,192.168.234.133,192.168.234.1,49963,443,TCP,0.000133,1,1,2,0,1,1,0,0.5,0
192.168.234.133-192.168.234.1-48800-80-6,192.168.234.133,192.168.234.1,48800,80,TCP,6.01637,5,3,8,0,0.2,1,18,0,0
192.168.234.1-224.0.0.251-5353-5353-17,192.168.234.1,224.0.0.251,5353,5353,UDP,6.314755,7,0,7,0,0,1,0,0,0
192.168.234.1-239.255.255.250-63562-1900-17,192.168.234.1,239.255.255.250,63562,1900,UDP,0,1,0,1,0,0,1,125,0,0
192.168.234.133-192.168.234.1-48802-80-6,192.168.234.133,192.168.234.1,48802,80,TCP,0.011097,4,3,7,0,0.25,1,175,0.1429,0
192.168.234.133-192.168.234.1-48816-80-6,192.168.234.133,192.168.234.1,48816,80,TCP,0.01092,4,3,7,0,0.25,1,617,0.1429,0
192.168.234.133-192.168.234.1-48824-80-6,192.168.234.133,192.168.234.1,48824,80,TCP,0.010795,5,3,8,0,0.2,1,18,0,0
192.168.234.133-192.168.234.1-48840-80-6,192.168.234.133,192.168.234.1,48840,80,TCP,0.006346,4,3,7,0,0.25,1,161,0.1429,0
192.168.234.133-192.168.234.1-48842-80-6,192.168.234.133,192.168.234.1,48842,80,TCP,0.006358,4,3,7,0,0.25,1,156,0.1429,0
192.168.234.133-192.168.234.1-48858-80-6,192.168.234.133,192.168.234.1,48858,80,TCP,0.003567,5,3,8,0,0.2,1,18,0,0
192.168.234.133-192.168.234.1-48874-80-6,192.168.234.133,192.168.234.1,48874,80,TCP,0.005097,6,3,9,0,0.1667,1,39,0,0
