Flow_ID,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Duration,Total_Fwd_Pkts,Total_Bwd_Pkts,Total_Pkts,F1_PacketRate_RAW,F2_SynRatio_RAW,F3_DistinctPorts_RAW,F4_PayloadLen_RAW,F5_FailRate_RAW,F6_ContextScore_RAW
192.168.234.1-192.168.234.255-57621-57621-17,192.168.234.1,192.168.234.255,57621,57621,UDP,36.697052,4,0,4,0.1090,0.0000,1.0000,44.0000,0.0000,0.0000
192.168.234.155-192.168.234.1-33326-80-6,192.168.234.155,192.168.234.1,33326,80,TCP,3.019849,7,4,11,3.6426,0.1429,1.0000,1094.0000,0.0909,0.0000
192.168.234.155-192.168.234.1-33338-80-6,192.168.234.155,192.168.234.1,33338,80,TCP,3.013467,7,4,11,3.6503,0.1429,1.0000,1094.0000,0.0909,0.0000
192.168.234.155-192.168.234.1-36586-80-6,192.168.234.155,192.168.234.1,36586,80,TCP,3.013396,7,4,11,3.6504,0.1429,1.0000,1094.0000,0.0909,0.0000
192.168.234.155-192.168.234.1-36594-80-6,192.168.234.155,192.168.234.1,36594,80,TCP,3.016220,7,4,11,3.6469,0.1429,1.0000,1094.0000,0.0909,0.0000
192.168.234.155-192.168.234.1-36600-80-6,192.168.234.155,192.168.234.1,36600,80,TCP,3.017585,7,4,11,3.6453,0.1429,1.0000,1094.0000,0.0909,0.0000
192.168.234.155-192.168.234.1-46270-80-6,192.168.234.155,192.168.234.1,46270,80,TCP,3.022356,7,4,11,3.6395,0.1429,1.0000,1094.0000,0.0909,0.0000
192.168.234.155-192.168.234.1-46280-80-6,192.168.234.155,192.168.234.1,46280,80,TCP,3.014614,7,4,11,3.6489,0.1429,1.0000,1094.0000,0.0909,0.0000
192.168.234.155-192.168.234.1-46292-80-6,192.168.234.155,192.168.234.1,46292,80,TCP,3.010715,7,4,11,3.6536,0.1429,1.0000,1094.0000,0.0909,0.0000
192.168.234.155-192.168.234.1-46296-80-6,192.168.234.155,192.168.234.1,46296,80,TCP,3.017024,7,4,11,3.6460,0.1429,1.0000,1094.0000,0.0909,0.0000
192.168.234.1-239.255.255.250-64920-1900-17,192.168.234.1,239.255.255.250,64920,1900,UDP,3.023165,4,0,4,1.3231,0.0000,1.0000,170.0000,0.0000,0.0000
192.168.234.155-192.168.234.1-58972-80-6,192.168.234.155,192.168.234.1,58972,80,TCP,1.298149,7,4,11,8.4736,0.1429,1.0000,1094.0000,0.0909,0.0000
